Shop Name,Shop Address,Lat,Lng,Maps URL,Total Violations,Near Worship,Near Schools,Near Bus Stands,Status
Sri Sai Bar & Restaurant,"WC7V+WGJ, Rajpet, Kolar, Krishnarajapura",12.9148366,78.4437804,https://www.google.com/maps/place/?q=place_id:ChIJa4VwP7S9rTsR0lZXcMGZi8Q,59,59,0,0,VIOLATION
Ganesh Bar and Restaurant,"XFQF+G6P, Panthanahalli",12.9888404,78.4730632,https://www.google.com/maps/place/?q=place_id:ChIJ6zejKACXrTsRHxyoEZJygeo,58,58,0,0,VIOLATION
Kalinga Bar and Restaurant,"XC85+HHG, Bangarapet",12.9664493,78.4089437,https://www.google.com/maps/place/?q=place_id:ChIJbx9eGwCXrTsRqyjysmsoQPM,4,4,0,0,VIOLATION
TASMAC,"RCW8+PWX, Chakkaramallur - Kanchipuram Road, Kalangal Colony Rd",12.8468721,79.4173702,https://www.google.com/maps/place/?q=place_id:ChIJsyMsSkXNUjoR9phwfffJBYk,4,4,0,0,VIOLATION
TASMAC,"WC34+FFJ, Unnamed Road, Bagaveli",12.9037476,79.406132,https://www.google.com/maps/place/?q=place_id:ChIJ-3Zj9efLUjoRzVPBxBABY6I,15,15,0,0,VIOLATION
TASMAC,"NO:536, M.B.T ROAD, KATTERI VILLAGE, BAGAVELI PANCHAYAT, SUMAITHANGI POST, WALAJAPET THALUK,, NO:536, NH 46, Bagaveli",12.9002606,79.4157585,https://www.google.com/maps/place/?q=place_id:ChIJLSYZcwHLUjoR8TYx3BCw7II,5,5,0,0,VIOLATION
Tasmac,"VFR4+3FX, Vellore",12.8902319,79.4562404,https://www.google.com/maps/place/?q=place_id:ChIJx7YizenLUjoRwQqwa69ezvM,13,13,0,0,VIOLATION
Tasmac,"RGP7+28, Munjurpattu",12.8351109,79.5132597,https://www.google.com/maps/place/?q=place_id:ChIJJa3bEQDPUjoRsqvxwhX51tU,27,27,0,0,VIOLATION
TASMAC WINSHOP,"VF28+9P9, Unnamed Road",12.8509154,79.4668516,https://www.google.com/maps/place/?q=place_id:ChIJh1PhXoLNUjoR96RqcD6_B7Y,13,13,0,0,VIOLATION
"Tasmac, Thiruporur","P5MJ+5FQ, Kanchipuram",12.7329535,80.1812317,https://www.google.com/maps/place/?q=place_id:ChIJKenJvLZWUjoRoHF84dDFl4U,26,26,0,0,VIOLATION
TASMAC,"43/2, Chengalpattu Main Road, Viralpakkam,Vengur X road, Chengalpattu - Thiruporur Rd",12.7114653,80.10278559999999,https://www.google.com/maps/place/?q=place_id:ChIJh4tD-6xVUjoRmkppqsHHvHU,35,35,0,0,VIOLATION
Tasmac டாஸ்மாக்,"QXCJ+P87, Thalimangalam",12.7717878,79.98079200000001,https://www.google.com/maps/place/?q=place_id:ChIJqVBYWt_7UjoRetlfRkAKYdw,37,37,0,0,VIOLATION
Tasmac,"Q6H8+JW9, Rajiv Gandhi Salai, Ramalingapuram, Kazhipattur",12.7790284,80.21735579999999,https://www.google.com/maps/place/?q=place_id:ChIJX9m422NRUjoRpCYFuMXrynY,66,63,3,0,VIOLATION
Tasmac kottamedu,"P476+377, MDR598, Karumbakkam",12.7126681,80.1106645,https://www.google.com/maps/place/?q=place_id:ChIJt7IOUOlXUjoRBIXLFqlfSEg,39,39,0,0,VIOLATION
Maruthi Wine Shop,"Bommasandra Industrial Area, Bommasandra",12.8121591,77.6873233,https://www.google.com/maps/place/?q=place_id:ChIJOQKjGThsrjsRatboBmH6JlE,58,58,0,0,VIOLATION
Sri Sai Samrat Wine Shop,"RM4X+578, Hennagara Main Rd, Bommasandra Industrial Area, Bommasandra",12.8054119,77.69819369999999,https://www.google.com/maps/place/?q=place_id:ChIJtePJdyVsrjsRlbp4jhfoyWY,91,71,2,18,VIOLATION
RK Bar And Restaurant,"Bommasandra Industrial Area, Yarandahalli",12.814983,77.67147469999999,https://www.google.com/maps/place/?q=place_id:ChIJW_2EemtsrjsRYBCxUAI9Npo,70,60,4,6,VIOLATION
Rajlakshmi Bar and Restaurant,"16, Service Rd, Konappana Agrahara, Electronic City, Konappana Agrahara",12.8517195,77.66819869999999,https://www.google.com/maps/place/?q=place_id:ChIJpeE7PwBtrjsRFVxM4h3u3Gk,109,85,20,4,VIOLATION
SLV BOARDING AND LODGING BAR & Restaurant,"near Railway Bridge, 678/1 M.R Layout, Hosur Main Road, near Railway Bridge, T, Chandapura, Anekal",12.8024034,77.7084661,https://www.google.com/maps/place/?q=place_id:ChIJyQxWf8BtrjsRp6WL5FdT0ts,105,79,15,11,VIOLATION
Gandharva Bar & Restaurant,India,12.7795603,77.6435746,https://www.google.com/maps/place/?q=place_id:ChIJwxEhaFBprjsRNRhzrW_o84U,87,75,5,7,VIOLATION
S R S COMFORTS BAR & Restaurant and Lodging,"Bannergatta Jigani Road, Begihalli",12.7985574,77.6013091,https://www.google.com/maps/place/?q=place_id:ChIJexLI5DFqrjsR1C-yEe08qgQ,66,61,0,5,VIOLATION
MSIL Liquor Shop,"RQ5Q+9X7, Unnamed Road, Bidaraguppe, Mallenahalli, Bidarguppe",12.8083999,77.7899116,https://www.google.com/maps/place/?q=place_id:ChIJCwk-vzJyrjsRXZAtqihGS9o,39,39,0,0,VIOLATION
Kagganur Bar And Restaurant,"VR2G+792, Sokkarasanapalli",12.8506344,77.8259242,https://www.google.com/maps/place/?q=place_id:ChIJU6dve3pzrjsRIwb4dUptRg4,55,55,0,0,VIOLATION
"NEW DROPS BAR AND RESTAURANT, MRP OUTLET","Sy No 118/1, Sarjapur Hobli, V. Kallahalli, Anekal, Volagerekallahalli",12.8819151,77.7813492,https://www.google.com/maps/place/?q=place_id:ChIJG9p2Mg1zrjsRiz3K5VQdhXw,63,61,2,0,VIOLATION
Aishwarya Bar & Restaurant,"RQ5M+7G4, Sarjapura - Attibele Rd, Bidaraguppe, S.Medihalli, Bidarguppe",12.8081422,77.78380589999999,https://www.google.com/maps/place/?q=place_id:ChIJLdrveoBzrjsRQzxU7DoAD_A,83,71,6,6,VIOLATION
SVB GARDEN ( bar and restaurant ),"RQPG+R42, Bikkanahalli, Bikkanhalli",12.837006,77.7752695,https://www.google.com/maps/place/?q=place_id:ChIJAfP0uNBzrjsR8Yz8fgIcfME,40,40,0,0,VIOLATION
Shubha Bar & Restaurant,"QRX4+2P2, Nallur, Bidarguppe",12.7976282,77.8070714,https://www.google.com/maps/place/?q=place_id:ChIJ-Yp5_nFzrjsRaVOg8bI_srg,22,22,0,0,VIOLATION
Hah bar and restaurant,"State Highway 35, Kada Agrahara",12.862728,77.770679,https://www.google.com/maps/place/?q=place_id:ChIJfcphZgBzrjsRhvCZvZHcaJU,81,63,15,3,VIOLATION
Adhi parameshwaree wine shop,"X5VG+Q3C, Gandhi Nagar, Bangarapet",12.9944354,78.17513799999999,https://www.google.com/maps/place/?q=place_id:ChIJN7mV26_vrTsRhwnke-YDIA8,106,90,16,0,VIOLATION
Ambika Bar & Restaurant,"NEAR, David Rd, Vivekanand Nagar, Bangarapet",12.9864179,78.1796536,https://www.google.com/maps/place/?q=place_id:ChIJX3w80EnprTsRj2CCY4FKcjM,84,78,5,1,VIOLATION
GCV BAR AND RESTAURANT,"W3PC+M3C, Masti - Tekal Rd, Tekal, Badakanahalli",12.9366879,78.07012639999999,https://www.google.com/maps/place/?q=place_id:ChIJBQCUWADnrTsRHHZco-kcZaU,2,2,0,0,VIOLATION
SHILPA BAR & RESTAURANT,"M Vishweshwarya Nagar, Doddurkarpanahalli Plantation OG",12.9911563,78.2404317,https://www.google.com/maps/place/?q=place_id:ChIJ6yy_IoTrrTsRE0Dolmu3BWQ,65,64,1,0,VIOLATION
Sri Thirumala Boarding Lodging Bar & Restaurant,"Chikka kunthur, road, Tekal, Malur",13.0006686,78.00851039999999,https://www.google.com/maps/place/?q=place_id:ChIJbd3TPADjrTsRweQqCPeF-hM,13,13,0,0,VIOLATION
NAGARAJU Bar and Restaurant,"X652+P4, Keelukopp, Kesaranhalli",12.9593125,78.2003125,https://www.google.com/maps/place/?q=place_id:ChIJZeJ5egDprTsRGbjVWIb0zz4,4,4,0,0,VIOLATION
D2 Bar and restaurant,"F 08, Puliyendaran layout, Dasarahosahalli, Bangarpet",12.9919022,78.2240918,https://www.google.com/maps/place/?q=place_id:ChIJ1d8riOvrrTsRDT_ZGYImgm4,61,60,1,0,VIOLATION
Mahesh Bar & Restaurant,"5, Dr BR Ambedkar Main Rd, opp. karur Vysya Bank, exactly, opp. to Rithvik Fashions, Hebbagodi",12.826327,77.678386,https://www.google.com/maps/place/?q=place_id:ChIJvWtvEl1srjsRb5bZpfV_Jko,86,80,2,4,VIOLATION
WHOLESALE WINE SHOP,"VPPQ+53G, Layout Road, Swami Vivekanandanagar, Dommasandra, Sulikunte Colony",12.8854264,77.7377161,https://www.google.com/maps/place/?q=place_id:ChIJtVH47qwSrjsRFm8uOv6LGR0,86,74,9,3,VIOLATION
